date;age;stream;hours;work;instr;compose;favgenre;explore;lang;classical;country;edm;folk;gospel;hiphop;jazz;kpop;latin;lofi;metal;pop;rnb;rap;rock;videogame;anxiety;depression;insomnia;ocd;effect;Acepto
2024/08/07 4:32:36 p.Â m. EEST;49;Youtube Music;2;No;No;No;Rock;S’;No;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;A veces;A veces;Nunca;Rara vez;A veces;Nunca;Nunca;A veces;Nunca;1;0;0;0;Mejoran;Acepto
2024/08/07 4:32:48 p.Â m. EEST;63;Youtube Music;1.5;No;No;No;Rock;S’;S’;Rara vez;Con frecuencia;Rara vez;Rara vez;Rara vez;Nunca;Nunca;Nunca;A veces;Nunca;Con frecuencia;Rara vez;Rara vez;Nunca;Con frecuencia;Rara vez;4;1;5;9;Mejoran;Acepto
2024/08/07 4:52:09 p.Â m. EEST;52;Youtube Music;2;No;No;No;Pop;S’;S’;A veces;Nunca;Nunca;Rara vez;Nunca;Nunca;Rara vez;A veces;A veces;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;Rara vez;Nunca;8;6;7;5;Mejoran;Acepto
2024/08/07 5:03:45 p.Â m. EEST;30;Spotify;2;S’;S’;No;Metal;S’;S’;Rara vez;Rara vez;Rara vez;Rara vez;A veces;Con frecuencia;Rara vez;Nunca;Rara vez;Rara vez;Con frecuencia;A veces;Con frecuencia;Con frecuencia;Con frecuencia;Con frecuencia;2;1;2;1;Mejoran;Acepto
2024/08/07 5:31:16 p.Â m. EEST;38;Spotify;8;S’;No;No;Latina;S’;S’;Rara vez;Rara vez;A veces;A veces;Rara vez;Rara vez;Rara vez;A veces;A veces;Rara vez;Rara vez;A veces;Rara vez;Rara vez;A veces;Rara vez;8;3;2;2;Mejoran;Acepto
2024/08/07 5:50:42 p.Â m. EEST;41;Otros;7;S’;No;No;Pop;S’;S’;A veces;A veces;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Nunca;1;0;0;0;Mejoran;Acepto
2024/08/07 5:52:42 p.Â m. EEST;30;Spotify;3;S’;No;No;Rock;S’;No;Con frecuencia;Rara vez;Nunca;Rara vez;Nunca;Rara vez;A veces;Nunca;Rara vez;Nunca;Rara vez;A veces;Nunca;Rara vez;Con frecuencia;Nunca;2;0;2;0;Mejoran;Acepto
2024/08/07 6:01:30 p.Â m. EEST;53;No suelo utilizar servicios de streaming;9;S’;No;No;Pop;S’;No;A veces;Rara vez;Nunca;Rara vez;Rara vez;Nunca;Nunca;Nunca;Con frecuencia;Rara vez;Nunca;Con frecuencia;Rara vez;Rara vez;Nunca;Nunca;8;4;0;0;Mejoran;Acepto
2024/08/07 6:11:00 p.Â m. EEST;28;Spotify;6;No;S’;No;Pop;S’;No;Nunca;Rara vez;Nunca;Rara vez;Rara vez;Nunca;Nunca;Nunca;A veces;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;Rara vez;Nunca;7;1;5;0;Mejoran;Acepto
2024/08/07 6:32:02 p.Â m. EEST;42;Otros;1;No;No;No;Rock;No;S’;Con frecuencia;Con frecuencia;Rara vez;A veces;A veces;Rara vez;Con frecuencia;Nunca;A veces;Nunca;Rara vez;A veces;Con frecuencia;Rara vez;Con frecuencia;Nunca;2;0;0;2;Apenas noto efecto;Acepto
2024/08/07 6:57:53 p.Â m. EEST;31;Spotify;2;S’;S’;No;Pop;No;No;A veces;Rara vez;A veces;Rara vez;Nunca;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;A veces;Rara vez;Con frecuencia;Con frecuencia;Rara vez;3;1;0;2;Apenas noto efecto;Acepto
2024/08/07 7:08:22 p.Â m. EEST;30;Spotify;2.5;S’;S’;S’;Metal;S’;S’;Nunca;Nunca;Rara vez;Rara vez;Nunca;Rara vez;Nunca;Nunca;Rara vez;Nunca;Con frecuencia;Rara vez;Nunca;Rara vez;Con frecuencia;Nunca;3;2;0;2;Mejoran;Acepto
2024/08/07 7:13:32 p.Â m. EEST;30;Spotify;0.25;No;No;No;Rock;No;No;A veces;Rara vez;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;A veces;Con frecuencia;Nunca;1;0;1;0;Apenas noto efecto;Acepto
2024/08/07 8:02:59 p.Â m. EEST;25;Spotify;1.5;No;No;No;Pop;S’;S’;Nunca;Rara vez;Nunca;Nunca;Nunca;A veces;Rara vez;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;Rara vez;Rara vez;A veces;Nunca;1;0;2;1;Mejoran;Acepto
2024/08/07 8:18:13 p.Â m. EEST;54;Spotify;5;S’;No;No;Pop;No;No;Rara vez;Rara vez;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Con frecuencia;4;0;0;6;Mejoran;Acepto
2024/08/07 10:25:51 p.Â m. EEST;39;Spotify;1.5;S’;S’;No;Rock;No;S’;Con frecuencia;A veces;Rara vez;Con frecuencia;Rara vez;A veces;A veces;Rara vez;A veces;Rara vez;Con frecuencia;A veces;Con frecuencia;A veces;Con frecuencia;Rara vez;1;3;4;1;Mejoran;Acepto
2024/08/07 10:34:45 p.Â m. EEST;49;Youtube Music;0.25;No;No;No;EDM;No;S’;Nunca;Rara vez;Con frecuencia;Nunca;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Rara vez;A veces;Nunca;Nunca;A veces;Nunca;0;0;0;0;Apenas noto efecto;Acepto
2024/08/07 10:46:08 p.Â m. EEST;38;Spotify;1;No;No;No;Pop;No;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;A veces;A veces;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;Nunca;4;4;2;0;Mejoran;Acepto
2024/08/07 11:06:25 p.Â m. EEST;33;Spotify;0.5;No;No;No;Pop;No;No;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Nunca;2;1;1;1;Apenas noto efecto;Acepto
2024/08/07 11:11:39 p.Â m. EEST;63;No suelo utilizar servicios de streaming;0.25;No;No;No;ClÃ¡sica;No;S’;Con frecuencia;Rara vez;Nunca;Con frecuencia;Rara vez;Rara vez;Rara vez;Nunca;Rara vez;Nunca;A veces;A veces;Nunca;Rara vez;A veces;Nunca;0;0;1;0;Mejoran;Acepto
2024/08/07 11:38:26 p.Â m. EEST;46;Spotify;2;S’;No;No;Rock;S’;S’;Con frecuencia;Rara vez;Nunca;Rara vez;Rara vez;Nunca;A veces;Rara vez;Rara vez;Nunca;Rara vez;Con frecuencia;A veces;Nunca;Con frecuencia;Nunca;7;3;6;0;Mejoran;Acepto
2024/08/07 11:50:14 p.Â m. EEST;62;Spotify;3;S’;S’;No;Rock;S’;S’;A veces;Rara vez;Rara vez;Rara vez;A veces;Nunca;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;A veces;A veces;Nunca;Con frecuencia;Nunca;1;1;1;0;Mejoran;Acepto
2024/08/08 12:27:28 a.Â m. EEST;46;Spotify;2;S’;No;No;Rock;S’;S’;A veces;Rara vez;Nunca;Rara vez;Rara vez;Nunca;A veces;Rara vez;Rara vez;Nunca;Rara vez;Con frecuencia;Nunca;Rara vez;Con frecuencia;Nunca;6;5;7;0;Mejoran;Acepto
2024/08/08 1:33:53 a.Â m. EEST;49;Spotify;0.5;No;No;No;Pop;No;S’;Rara vez;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Rara vez;A veces;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;Nunca;2;0;2;0;Mejoran;Acepto
2024/08/08 7:49:49 a.Â m. EEST;56;No suelo utilizar servicios de streaming;0.25;No;S’;No;R&B;No;S’;Nunca;Nunca;Nunca;Rara vez;Rara vez;Rara vez;Rara vez;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Con frecuencia;Rara vez;Rara vez;Nunca;5;1;8;1;Mejoran;Acepto
2024/08/08 9:36:31 a.Â m. EEST;25;Spotify;10;S’;No;No;Latina;S’;S’;A veces;A veces;Con frecuencia;Rara vez;Rara vez;A veces;A veces;Rara vez;Con frecuencia;Con frecuencia;Con frecuencia;Con frecuencia;Con frecuencia;Rara vez;Con frecuencia;Rara vez;1;0;1;0;Mejoran;Acepto
2024/08/08 1:47:15 p.Â m. EEST;23;Spotify;2;S’;No;No;EDM;S’;S’;Nunca;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;A veces;Nunca;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Con frecuencia;A veces;Nunca;7;3;8;3;Apenas noto efecto;Acepto
2024/08/08 4:25:40 p.Â m. EEST;35;Youtube Music;1;No;S’;S’;Rock;No;S’;Con frecuencia;Rara vez;Nunca;Rara vez;Nunca;A veces;A veces;Nunca;A veces;Nunca;Nunca;A veces;Rara vez;Rara vez;Con frecuencia;Nunca;5;5;4;1;Mejoran;Acepto
2024/08/08 5:24:29 p.Â m. EEST;80;No suelo utilizar servicios de streaming;1;No;S’;No;Country;No;S’;A veces;Con frecuencia;Nunca;A veces;A veces;Rara vez;A veces;Nunca;Nunca;Nunca;Nunca;A veces;Rara vez;A veces;A veces;Nunca;1;0;4;0;Mejoran;Acepto
2024/08/08 9:20:27 p.Â m. EEST;54;No suelo utilizar servicios de streaming;2;S’;No;No;Pop;No;S’;Rara vez;A veces;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;A veces;Con frecuencia;Rara vez;A veces;Con frecuencia;A veces;Rara vez;A veces;Rara vez;0;0;1;0;Apenas noto efecto;Acepto
2024/08/09 1:00:08 a.Â m. EEST;31;Spotify;8;S’;S’;No;Rock;S’;No;A veces;Nunca;Rara vez;Rara vez;Nunca;Nunca;A veces;Nunca;Rara vez;A veces;Con frecuencia;Con frecuencia;A veces;Rara vez;Con frecuencia;Con frecuencia;2;0;2;0;Mejoran;Acepto
